"","EntrezID","GeneSymbol","PathwayID","PathwayName"
"1","10","NAT2",232,"Caffeine metabolism"
"2","10","NAT2",983,"Drug metabolism - other enzymes"
"3","10","NAT2",1100,"Metabolic pathways"
"4","100","ADA",230,"Purine metabolism"
"5","100","ADA",1100,"Metabolic pathways"
"6","1000","CDH2",4514,"Cell adhesion molecules (CAMs)"
"7","10000","AKT3",1521,"EGFR tyrosine kinase inhibitor resistance"
"8","10000","AKT3",1522,"Endocrine resistance"
"9","10000","AKT3",1524,"Platinum drug resistance"
"10","10000","AKT3",4010,"MAPK signaling pathway"
"11","10000","AKT3",4012,"ErbB signaling pathway"
"12","10000","AKT3",4014,"Ras signaling pathway"
"13","10000","AKT3",4015,"Rap1 signaling pathway"
"14","10000","AKT3",4022,"cGMP-PKG signaling pathway"
"15","10000","AKT3",4024,"cAMP signaling pathway"
"16","10000","AKT3",4062,"Chemokine signaling pathway"
"17","10000","AKT3",4066,"HIF-1 signaling pathway"
"18","10000","AKT3",4068,"FoxO signaling pathway"
"19","10000","AKT3",4071,"Sphingolipid signaling pathway"
"20","10000","AKT3",4072,"Phospholipase D signaling pathway"
"21","10000","AKT3",4140,"Autophagy - animal"
"22","10000","AKT3",4150,"mTOR signaling pathway"
"23","10000","AKT3",4151,"PI3K-Akt signaling pathway"
"24","10000","AKT3",4152,"AMPK signaling pathway"
"25","10000","AKT3",4210,"Apoptosis"
"26","10000","AKT3",4211,"Longevity regulating pathway"
"27","10000","AKT3",4213,"Longevity regulating pathway - multiple species"
"28","10000","AKT3",4218,"Cellular senescence"
"29","10000","AKT3",4261,"Adrenergic signaling in cardiomyocytes"
"30","10000","AKT3",4370,"VEGF signaling pathway"
"31","10000","AKT3",4371,"Apelin signaling pathway"
"32","10000","AKT3",4380,"Osteoclast differentiation"
"33","10000","AKT3",4510,"Focal adhesion"
"34","10000","AKT3",4550,"Signaling pathways regulating pluripotency of stem cells"
"35","10000","AKT3",4611,"Platelet activation"
"36","10000","AKT3",4620,"Toll-like receptor signaling pathway"
"37","10000","AKT3",4630,"Jak-STAT signaling pathway"
"38","10000","AKT3",4660,"T cell receptor signaling pathway"
"39","10000","AKT3",4662,"B cell receptor signaling pathway"
"40","10000","AKT3",4664,"Fc epsilon RI signaling pathway"
"41","10000","AKT3",4666,"Fc gamma R-mediated phagocytosis"
"42","10000","AKT3",4668,"TNF signaling pathway"
"43","10000","AKT3",4722,"Neurotrophin signaling pathway"
"44","10000","AKT3",4725,"Cholinergic synapse"
"45","10000","AKT3",4728,"Dopaminergic synapse"
"46","10000","AKT3",4910,"Insulin signaling pathway"
"47","10000","AKT3",4914,"Progesterone-mediated oocyte maturation"
"48","10000","AKT3",4915,"Estrogen signaling pathway"
"49","10000","AKT3",4917,"Prolactin signaling pathway"
"50","10000","AKT3",4919,"Thyroid hormone signaling pathway"
"51","10000","AKT3",4920,"Adipocytokine signaling pathway"
"52","10000","AKT3",4922,"Glucagon signaling pathway"
"53","10000","AKT3",4923,"Regulation of lipolysis in adipocytes"
"54","10000","AKT3",4926,"Relaxin signaling pathway"
"55","10000","AKT3",4931,"Insulin resistance"
"56","10000","AKT3",4932,"Non-alcoholic fatty liver disease (NAFLD)"
"57","10000","AKT3",4933,"AGE-RAGE signaling pathway in diabetic complications"
"58","10000","AKT3",4973,"Carbohydrate digestion and absorption"
"59","10005","ACOT8",120,"Primary bile acid biosynthesis"
"60","10005","ACOT8",1100,"Metabolic pathways"
"61","10005","ACOT8",4146,"Peroxisome"
"62","10007","GNPDA1",520,"Amino sugar and nucleotide sugar metabolism"
"63","10007","GNPDA1",1100,"Metabolic pathways"
"64","10008","KCNE3",4974,"Protein digestion and absorption"
"65","1001","CDH3",4514,"Cell adhesion molecules (CAMs)"
"66","10010","TANK",4621,"NOD-like receptor signaling pathway"
